feature,ks_statistic,p_value
0.85,0.07315879618301933,0.9874742817000065
44,0.1218497675556643,0.6686391210486866
88.1,0.1370198189380964,0.525265522333846
0.86,0.014925373134328358,1.0
0.87,0.014925373134328358,1.0
28.2,0.0932224125275263,0.9090952087325062
0.88,0.014925373134328358,1.0
0.89,0.011989234157083434,1.0
0.90,0.0,1.0
0.91,0.0,1.0
0.92,0.014925373134328358,1.0
0.93,0.013457303645705897,1.0
0.94,0.033031563494005385,0.999999999925917
44.1,0.21874235380474677,0.07696370196936
76.1,0.23660386591632004,0.04485264737506363
0.95,0.014925373134328358,1.0
0.96,0.0,1.0
28.3,0.21605089307560557,0.08283167739440567
0.97,0.0,1.0
0.98,0.004404208465867384,1.0
0.99,0.0,1.0
0.100,0.0,1.0
0.101,0.0,1.0
0.102,0.0,1.0
0.103,0.08686077807682897,0.9443433417679981
44.2,0.12747736726205042,0.6154011221856504
72,0.2706141424027404,0.014425549834217153
0.104,0.0,1.0
0.105,0.0,1.0
24.5,0.20088084169317347,0.12670989673510946
0.106,0.0,1.0
0.107,0.0,1.0
0.108,0.01786151211157328,1.0
0.109,0.0,1.0
0.110,0.0,1.0
0.111,0.002936138977244923,1.0
1.0,0.10227550770736482,0.8449844348596394
0.0,0.2285294837288965,0.05815933425246543
4.5,0.12038169806704184,0.6823227419316062
-2.8,0.17788108637142158,0.2277293295473799
0.0.1,0.014925373134328358,1.0
0.0.2,0.0,1.0
0.3,0.26205040371910937,0.019152806615738864
2.5,0.14900905309517984,0.4204877632646872
-2.2,0.18742353804746759,0.1795367169670668
19.8,0.14900905309517984,0.4204877632646872
0.8,0.12209444580376805,0.6656987917943183
-0.4,0.13310496696843652,0.5635270064548346
6.4,0.11720088084169317,0.7132981799047295
-1.3,0.22583802299975533,0.06313001502763263
0.0.3,0.014925373134328358,1.0
0.0.4,0.0,1.0
0.7,0.13261561047222903,0.5651620787211462
2.7,0.09933936873011989,0.8684920632335991
14.2,0.1724981649131392,0.2565187574666113
37.9,0.16075360900415953,0.3310908863361255
-0.2,0.14289209689258625,0.4723194132021945
-0.6,0.09053095179838512,0.9239556324581473
4.4,0.22779544898458526,0.058629874371716274
0.0.5,0.33765598238316613,0.0009479031991326951
0.0.6,0.058233423048690974,0.9993560603176264
0.0.7,0.0,1.0
0.5,0.10643503792512846,0.8106753479791372
0.2,0.1981893809640323,0.13568617485540746
24.7,0.257646195253242,0.022295056842146867
26.2,0.1414240274039638,0.4854419182733055
-1.0,0.17714705162711036,0.2293988023720551
-5.3,0.20846586738438952,0.10275848204884505
1.8,0.25568876926841205,0.024324250234737086
0.0.8,0.12551994127722046,0.635061797887476
0.0.9,0.058233423048690974,0.9993560603176264
0.0.10,0.0,1.0
-0.5,0.12038169806704184,0.6823227419316062
-2.5,0.1453388793736237,0.45274851583783227
-8.0,0.1397112796672376,0.5016417495230966
-28.5,0.16515781747002692,0.30181986176391157
0.5.1,0.16540249571813065,0.2997151724318069
0.0.11,0.24492292635184731,0.034702649989525644
1.7,0.20552972840714462,0.11136554235763912
-2.7,0.15855150477122584,0.34942109617548356
0.0.12,0.014925373134328358,1.0
0.0.13,0.0,1.0
-0.2.1,0.14998776608759481,0.41444543354926733
1.0.1,0.16833863469537558,0.2812830994929121
-9.4,0.199412772204551,0.13170695914019426
-1.2,0.10423293369219476,0.8278230307870118
0.4,0.14900905309517984,0.4204877632646872
0.0.14,0.13457303645705898,0.5501718145069642
4.9,0.10423293369219476,0.8278230307870118
0.0.15,0.28994372400293617,0.007021941284248496
0.0.16,0.08955223880597014,0.9293394550812164
0.0.17,0.029850746268656716,0.999999999999411
0.6,0.16540249571813065,0.2997151724318069
1.4,0.16540249571813065,0.2997151724318069
31.3,0.13995595791534132,0.4987059092357453
42.7,0.17641301688279912,0.2356326976833125
-0.8,0.14900905309517984,0.4204877632646872
0.0.18,0.1448495228774162,0.45699321332312426
0.7.1,0.1964766332273061,0.1421405123617654
-3.8,0.1353070712013702,0.5412874329456454
6.5,0.11940298507462686,0.6916592126575725
0.0.19,0.029850746268656716,0.999999999999411
0.3.1,0.09297773427942256,0.9108323902506068
-3.3,0.15341326156104723,0.38626977245456995
18.7,0.1340836799608515,0.5516578708114419
-13.6,0.14900905309517984,0.4204877632646872
-0.9,0.1291901149987766,0.5983994665459125
0.0.20,0.11646684609738195,0.7207388309404733
2.2,0.12503058478101298,0.6376398921723283
-4.1,0.2515292390506484,0.02758490634768148
7.4,0.03278688524590164,0.9999999999435809
0.0.21,0.0,1.0
0.5.2,0.18595546855884512,0.1862014571020325
-2.4,0.11426474186444825,0.7409594781299373
20.9,0.10252018595546857,0.8426953617198738
-2.6,0.19329581600195742,0.15487866792640242
0.0.22,0.2128700758502569,0.09090546855485082
0.0.23,0.026914607291411794,0.9999999999999991
5.8,0.13824321017861513,0.5149464215127125
-4.1.1,0.085882065084414,0.9490869502043027
